ref,f,transition
5337703378.046639,10349395227.94061,02
5314760230.183868,10303309151.368055,02
5290548317.734349,10254658070.577078,02
5265036304.328409,10203180247.056795,02
5238216873.134598,10148767359.97548,02
5263313418.620613,10199653758.929049,02
5238249356.81814,10148726383.8358,02
5206581571.69742,10084175697.959469,02
5210374324.468804,10092120161.337675,02
5176051135.70292,10022362018.54507,02
5110840381.398167,9889828212.414152,02
5042375373.174896,9750163513.237425,02
4938219563.713287,9537964839.426374,02
4824206846.021774,9307490627.27476,02
4255965305.2839937,8148667597.611903,02
5476957443.133744,5151709604.576512,12
5476957443.133744,5151846861.922561,12
5476957443.133744,5151950487.285821,12
5476957443.133744,5152164935.044616,12
5476957443.133744,5152409131.913751,12
5476957443.133744,5152229044.1352415,12
5476957443.133744,5152735293.99372,12
5479176414.866179,5153376108.43393,12
5461375000.0,5135064203.155559,12
5461375000.0,5134920111.696668,12
5461375000.0,5134964937.152314,12
5461375000.0,5134980407.615571,12
5461375000.0,5134994171.982056,12
5461375000.0,5134995097.54253,12
5461375000.0,5134945668.64122,12
5460943195.500204,5134915372.039816,12
5461281025.616892,5135339819.054482,12
5461244901.641557,5135314965.560352,12
5461074405.56237,5134939142.291115,12
5461338613.330944,5135287274.914674,12
5461337426.182493,5135269743.967902,12
5461101765.977793,5135065803.846019,12
5461795078.192901,5135812506.990289,12
5461795078.192901,5135823183.471067,12
5461180332.331694,5135126592.75675,12
5461180332.331694,5135107230.119898,12
5461180332.331694,5135116382.233585,12
5461180332.331694,5135110017.462637,12
5461776326.857239,5136012487.072665,12
5460956343.331175,5135138632.983476,12
5461117280.569663,5135154542.662783,12
5435901576.76674,5102034816.016921,12
5411106184.795783,5109915516.6606245,12
5411106184.795783,5109914386.733199,12
5411106184.795783,5109900297.091879,12
5461101160.460159,5134600215.4320965,12
5437711003.549314,5112015358.25313,12
5438396240.837112,5112497603.07236,12
5461156305.388891,5135254646.340172,12
5461126107.313201,5135036123.79128,12
5460996192.745384,5134968566.344196,12
5438426375.33858,5112359691.9583645,12
5438426721.618706,5112091448.880355,12
5363198176.939519,5038177229.759523,12
4873117046.02709,4507999227.818165,12
5363070000.0,5035960984.29833,12
5363070000.0,5038946006.38956,12
5363070000.0,5038946857.531208,12
5242362013.044743,4894248555.98576,12
5239843709.270144,4911772328.887302,12
5169509219.838978,4839695006.564781,12
4984947952.048726,4648423145.91114,12
4984947952.048726,4648655478.857941,12
4984947952.048726,4648646798.03794,12
4985158125.349751,4648448623.213497,12
4985158125.349751,4648382277.538765,12
4985158125.349751,4648422043.303366,12
4985118221.545965,4648728971.608038,12
4985203637.141866,4648831907.269035,12
